X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type,Sidewalk_Width__ft_,Accessibility_Score,Sidewalk_Condition,Sidewalk_Material,Current_Shelter,Routes,Municipality_1,Neighborhood,created_user,created_date,last_edited_user,last_edited_date
-71.0263350005666,42.3437529998689,642121,31258,31258,88 Black Falcon,88 Black Falcon - Silver Line - SL2 South Station,,South Station,42.343753,-71.026335,,"88 Black Falcon Ave, Boston, MA 02210",https://www.mbta.com/stops/31258,level_in_street,0,,1,Boston,,,,7,Medium,Good,Concrete,0,742,BOSTON,South Boston Waterfront,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.2022090000656,42.3524990000531,647066,door-WML-0081-harvard,,Newtonville - Harvard St,Newtonville - Harvard St,,,42.352499,-71.202209,,,,level_in_street,2,place-WML-0081,2,Newton,,,,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.2070100000802,42.3513559997908,647067,door-WML-0081-walnut,,Newtonville - Walnut St,Newtonville - Walnut St,,,42.351356,-71.20701,,,,level_in_street,2,place-WML-0081,2,Newton,,,,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.2288180000777,42.3479740000334,647070,door-WML-0091-ebwas,,West Newton - Washington St (East),West Newton - Washington St (East),,,42.347974,-71.228818,,,,level_in_street,2,place-WML-0091,2,Newton,,,,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.2322329995587,42.3476639998181,647071,door-WML-0091-wbwas,,West Newton - Washington St (West),West Newton - Washington St (West),,,42.347664,-71.232233,,,,level_in_street,2,place-WML-0091,2,Newton,,,,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.2469480003215,42.3463320000562,647074,door-WML-0102-auburn,,Auburndale - Auburn St,Auburndale - Auburn St,,,42.346332,-71.246948,,,,level_in_street,2,place-WML-0102,2,Newton,,,,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.2521260004207,42.345138999962,647075,door-WML-0102-woodland,,Auburndale - Woodland Rd,Auburndale - Woodland Rd,,,42.345139,-71.252126,,,,level_in_street,2,place-WML-0102,2,Newton,,,,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.1424830006026,42.3954279998397,647168,70061,70061,Alewife,Alewife - Red Line,,Red Line,42.395428,-71.142483,RapidTransit,,https://www.mbta.com/stops/place-alfcl,level_-2_platform,0,place-alfcl,1,Cambridge,,,1,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.1424830006026,42.3954279998397,647170,Alewife-01,,Alewife,Alewife - Red Line - Track 1,1,Track 1,42.395428,-71.142483,RapidTransit,,https://www.mbta.com/stops/place-alfcl,level_-2_platform,0,place-alfcl,1,Cambridge,,,1,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.1424830006026,42.3954279998397,647171,Alewife-02,,Alewife,Alewife - Red Line - Track 2,2,Track 2,42.395428,-71.142483,RapidTransit,,https://www.mbta.com/stops/place-alfcl,level_-2_platform,0,place-alfcl,1,Cambridge,,,1,,,,,,,,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
